title,year,suggested_by,notes
"Internal Affairs , Ian And Seb Honkanese",,Ian / Seb,Suggested by: Ian / Seb
"24 Hour Party People , Ian f. Coogan",,Ian,(Amazon) | Suggested by: Ian
Irony of Fate - Russian Fom Com They All Know,,,
le Donk & Scor-zay-zee,,Mat,(recommended by Mat)
in The Loop,,,"- political film, precursor to malcolm tucker"
Drive,,,
The Salt of The Earth,2014,Kasia,"- IMDb - film recomended by Kasia , photos , war"
Porko Rosso Film,,Tucker,- NETFLIX - Japanese cartoon - Tucker
The Hustler,,Ian,"(re pool, Ian Feather)"
Gattaca,,Carl Nielsen,(Carl Nielsen ; LG work)
Inside Out,,Carl Nielsen,"(animated film, Carl Nielsen)"
The Master,,Nora,"(Paul Thomas Anderson) (Nori Berlin Tokyo recommendation, plot, thriller/drama) | Suggested by: Nora"
mr Robot,,Nora,(Nori Berlin Tokyo) | Suggested by: Nora
Stranger Things,,Nora,(Nori Berlin Tokyo) | Suggested by: Nora
The Babadook,,Nora,(Nori Berlin Tokyo) | Suggested by: Nora
Hatari! Film John Wayne,,Dad,"(DAD, Tanzania!) | Suggested by: Dad"
'the Night Of',,Ash Colbeck,(Ash Colbeck)
'the Wire',,Ash Colbeck,(Ash Colbeck)
i Daniel Blake,,Ian,(Ian Feather)
Fear And Loathing in Las Vegas,,Mat,(Mat)
The Work,2017,Tim Ferris,(Tim Ferris)
Kaiser,,,(@kaiserfilm) - the best player never to play football
Léon: The Professional,,Mat,(Mat)
"Spring, Summer, Fall, Winter... And Spring.. Korean Film",,Surath,(Surath I think recommended)
Football - Take The Ball Pass The Ball Amazon,,,
Football - Next Goal Wins Amazon,,,
Man on Wire,,Ian,(ian f) | Suggested by: Ian
The Wild And Wonderful Whites of West Virginia,,,
Jiro Dreams of Sushi,,Rogan / Ferris,(Rogan/Ferris podcsat) | Suggested by: Rogan / Ferris
Good Kill,,,- https://www.youtube.com/watch?v=28r87OzTVeo
The Fighter,,Tak / Carl,http://www.imdb.com/title/tt0964517/ Ward v gatti recommended by Tak carl that night out. Proper boxing match. Watch the film then watch the fights | Suggested by: Tak / Carl
ex Machina,,Joe Rogan,"(AI themes, Joe Rogan)"
Catastrophe...,,Bex,"(funny relationship, Bex)"
W11,,Bex,"(funny BBC, Bex)"
Ghost Dog: The Way of The Samurai,,,(drunk foreigner woman from the pub)
Dopesic,,Mat,(Mat)
Godfrey Reggio - Koyaniqatsi,,Carl Nielsen,(Carl N) - unlike anything else | Suggested by: Carl Nielsen
Waking Life - Mat,2001,Mat,Suggested by: Mat
Altered Carbon,,,(cyberpunk)
The Banshees of Inisherin,,Mat,(Mat as usual lol)
The Gods Must be Crazy,,Cazzie,(Cazzie - south african film apartheid)
Levellers,,Mat,"(Mat, best ever lol)"
The Good Place,,,"(Netflix, philosophy)"
Arjun Sen Jaw Surgery,,Debbie,(Debbie)
Eat Pray Love,,Tina,(tina) | Suggested by: Tina
Another Round,,,(Amazon)
Perfect Days Japan Film Mat,,Mat,Suggested by: Mat
Midsommar,,Aga,(Aga)
